I (3694) moq-ultra-net: phase=boot sent=0 received=0 replies=0 control=0 reset_tx=0 reset_rx=0 internal_free=317439 internal_min=285408 internal_largest=221184 psram_free=8386192 stack_free=10652
I (4857) moq-ultra-net: phase=wifi sent=0 received=0 replies=0 control=0 reset_tx=0 reset_rx=0 internal_free=267523 internal_min=232984 internal_largest=192512 psram_free=8386076 stack_free=10076
I (4859) moq-ultra-net: phase=before_start sent=0 received=0 replies=0 control=0 reset_tx=0 reset_rx=0 internal_free=255359 internal_min=223308 internal_largest=180224 psram_free=8357912 stack_free=10076
I (8291) moq-ultra-net: phase=quic_connected sent=0 received=0 replies=0 control=0 reset_tx=0 reset_rx=0 internal_free=204775 internal_min=149024 internal_largest=108544 psram_free=8357912 stack_free=3788
I (8375) moq-ultra-net: RESULT phase=setup pass=1 result=0 sent=0 received=0 replies=0 elapsed_us=3515382
I (8375) moq-ultra-net: phase=before_destroy sent=0 received=0 replies=0 control=0 reset_tx=0 reset_rx=0 internal_free=214383 internal_min=149024 internal_largest=131072 psram_free=8357912 stack_free=3788
I (8377) moq-ultra-net: phase=after_destroy sent=0 received=0 replies=0 control=0 reset_tx=0 reset_rx=0 internal_free=266991 internal_min=149024 internal_largest=143360 psram_free=8386076 stack_free=3788
I (8879) moq-ultra-net: phase=before_start sent=0 received=0 replies=0 control=0 reset_tx=0 reset_rx=0 internal_free=254999 internal_min=149024 internal_largest=143360 psram_free=8346644 stack_free=3788
I (12294) moq-ultra-net: phase=quic_connected sent=0 received=0 replies=0 control=0 reset_tx=0 reset_rx=0 internal_free=204799 internal_min=149024 internal_largest=110592 psram_free=8346644 stack_free=3788
I (18885) moq-ultra-net: phase=streaming sent=330 received=320 replies=1 control=1 reset_tx=0 reset_rx=0 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (28883) moq-ultra-net: phase=streaming sent=830 received=820 replies=2 control=2 reset_tx=1 reset_rx=1 internal_free=210255 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (38884) moq-ultra-net: phase=streaming sent=1330 received=1320 replies=3 control=3 reset_tx=2 reset_rx=2 internal_free=210255 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (48882) moq-ultra-net: phase=streaming sent=1830 received=1820 replies=4 control=4 reset_tx=3 reset_rx=3 internal_free=210255 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (58881) moq-ultra-net: phase=streaming sent=2329 received=2320 replies=5 control=5 reset_tx=4 reset_rx=4 internal_free=212063 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (68883) moq-ultra-net: phase=streaming sent=2830 received=2820 replies=6 control=6 reset_tx=5 reset_rx=5 internal_free=212063 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (78883) moq-ultra-net: phase=streaming sent=3330 received=3320 replies=7 control=7 reset_tx=6 reset_rx=6 internal_free=212063 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (88883) moq-ultra-net: phase=streaming sent=3830 received=3820 replies=8 control=8 reset_tx=7 reset_rx=7 internal_free=210255 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (98883) moq-ultra-net: phase=streaming sent=4330 received=4320 replies=9 control=9 reset_tx=8 reset_rx=8 internal_free=210255 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (108883) moq-ultra-net: phase=streaming sent=4830 received=4820 replies=10 control=10 reset_tx=9 reset_rx=9 internal_free=210255 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (118883) moq-ultra-net: phase=streaming sent=5330 received=5320 replies=11 control=11 reset_tx=10 reset_rx=10 internal_free=210255 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (128884) moq-ultra-net: phase=streaming sent=5830 received=5820 replies=12 control=12 reset_tx=11 reset_rx=11 internal_free=208463 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (138884) moq-ultra-net: phase=streaming sent=6330 received=6320 replies=13 control=13 reset_tx=12 reset_rx=12 internal_free=210275 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (148880) moq-ultra-net: phase=streaming sent=6830 received=6819 replies=14 control=14 reset_tx=13 reset_rx=13 internal_free=210275 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (158884) moq-ultra-net: phase=streaming sent=7330 received=7320 replies=15 control=15 reset_tx=14 reset_rx=14 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (168883) moq-ultra-net: phase=streaming sent=7830 received=7820 replies=16 control=16 reset_tx=15 reset_rx=15 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (178882) moq-ultra-net: phase=streaming sent=8330 received=8319 replies=17 control=17 reset_tx=16 reset_rx=16 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (188883) moq-ultra-net: phase=streaming sent=8830 received=8820 replies=18 control=18 reset_tx=17 reset_rx=17 internal_free=210275 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (198880) moq-ultra-net: phase=streaming sent=9330 received=9319 replies=19 control=19 reset_tx=18 reset_rx=18 internal_free=210275 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (208880) moq-ultra-net: phase=streaming sent=9830 received=9819 replies=20 control=20 reset_tx=19 reset_rx=19 internal_free=211779 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (218884) moq-ultra-net: phase=streaming sent=10330 received=10320 replies=21 control=21 reset_tx=20 reset_rx=20 internal_free=210275 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (228881) moq-ultra-net: phase=streaming sent=10830 received=10819 replies=22 control=22 reset_tx=21 reset_rx=21 internal_free=210299 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (238882) moq-ultra-net: phase=streaming sent=11330 received=11319 replies=23 control=23 reset_tx=22 reset_rx=22 internal_free=211779 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (248884) moq-ultra-net: phase=streaming sent=11830 received=11820 replies=24 control=24 reset_tx=23 reset_rx=23 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (258884) moq-ultra-net: phase=streaming sent=12330 received=12320 replies=25 control=25 reset_tx=24 reset_rx=24 internal_free=210275 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (268882) moq-ultra-net: phase=streaming sent=12830 received=12819 replies=26 control=26 reset_tx=25 reset_rx=25 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (278882) moq-ultra-net: phase=streaming sent=13330 received=13319 replies=27 control=27 reset_tx=26 reset_rx=26 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (288881) moq-ultra-net: phase=streaming sent=13830 received=13819 replies=28 control=28 reset_tx=27 reset_rx=27 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (298880) moq-ultra-net: phase=streaming sent=14330 received=14319 replies=29 control=29 reset_tx=28 reset_rx=28 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (308886) moq-ultra-net: phase=streaming sent=14829 received=14820 replies=30 control=30 reset_tx=29 reset_rx=29 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (318886) moq-ultra-net: phase=streaming sent=15330 received=15320 replies=31 control=31 reset_tx=30 reset_rx=30 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (328880) moq-ultra-net: phase=streaming sent=15830 received=15819 replies=32 control=32 reset_tx=31 reset_rx=31 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (338881) moq-ultra-net: phase=streaming sent=16330 received=16319 replies=33 control=33 reset_tx=32 reset_rx=32 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (348882) moq-ultra-net: phase=streaming sent=16830 received=16819 replies=34 control=34 reset_tx=33 reset_rx=33 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (358882) moq-ultra-net: phase=streaming sent=17330 received=17319 replies=35 control=35 reset_tx=34 reset_rx=34 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (368882) moq-ultra-net: phase=streaming sent=17830 received=17819 replies=36 control=36 reset_tx=35 reset_rx=35 internal_free=210299 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (378880) moq-ultra-net: phase=streaming sent=18330 received=18319 replies=37 control=37 reset_tx=36 reset_rx=36 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (388880) moq-ultra-net: phase=streaming sent=18830 received=18819 replies=38 control=38 reset_tx=37 reset_rx=37 internal_free=210255 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
I (398882) moq-ultra-net: phase=streaming sent=19330 received=19319 replies=39 control=39 reset_tx=38 reset_rx=38 internal_free=212083 internal_min=149024 internal_largest=126976 psram_free=8346644 stack_free=3788
